dataset,seed,model_id,label,abbrev,family,MAPE,RMSPE,MAAPE,MASE,MSE,R2,cost_selected,epsilon_selected,sigma_selected,gamma_selected,sym_type_selected,mtry_selected,xgb_trees_selected,xgb_lr_selected,xgb_depth_selected
diabetes,5,b4,Linear Regression,LR,baseline,39.82250529389863,59.8190359990371,20.85141269960414,0.48118356043440946,2692.8296174632865,0.48793166380070285,NA,NA,NA,NA,NA,NA,NA,NA,NA
diabetes,5,b5,WLS (1/y²),WLS,baseline,35.166467889098534,41.33791941078805,20.721641914211624,0.6381511056791085,5269.382733005394,-0.0020255390050369915,NA,NA,NA,NA,NA,NA,NA,NA,NA
diabetes,5,b6,Log-SVR,Log-SVR,baseline,43.18479952163703,66.85906616277599,21.962283905605354,0.5727582250309692,4314.543115966197,0.17954671156127722,1,0.1,NA,0.224,NA,NA,NA,NA,NA
diabetes,5,b7a,QR (τ = 0.5),QR,baseline,39.56473344681281,60.07549554956794,20.710055748890202,0.4794213652226195,2686.8700259510733,0.4890649394042894,NA,NA,NA,NA,NA,NA,NA,NA,NA
diabetes,6,m1,SVR-MAPE,SVR-MAPE,psvr,35.27867603821861,47.809347447414815,19.783638097603955,0.5599378300060083,4261.645825946459,0.28536441269335744,45.11500295915688,0.17909066681404773,4.9744136462968545,0.0202062728064682,NA,NA,NA,NA,NA
diabetes,6,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,35.0600068526661,47.43349111326804,19.717752955061936,0.5502342302929446,4133.324296391781,0.306882655969012,88.65495701362124,0.015299487968575646,7.41848251691875,0.00908531206725878,odd,NA,NA,NA,NA
diabetes,6,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,39.826801001211685,45.396705871476456,23.295600301415142,0.8152880091857019,9858.874853105834,-0.6532351839133084,99.26920630294312,NA,3.1932923362686507,0.049033472082019317,NA,NA,NA,NA,NA
diabetes,6,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,39.7618252120136,45.3522930537203,23.258457793731534,0.8142760978127433,9845.671270963205,-0.6510210746080252,99.86669844616011,NA,2.8741837165250854,0.06052585807516807,NA,NA,NA,NA,NA
diabetes,6,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,39.86123386240745,45.43746559773052,23.31239601797427,0.8161927262414261,9885.670280563014,-0.657728510393282,99.79392315843656,NA,3.2049740908037405,0.04867668099431418,odd,NA,NA,NA,NA
diabetes,6,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,39.86123386240745,45.43746559773052,23.31239601797427,0.8161927262414261,9885.670280563014,-0.657728510393282,99.79392315843656,NA,3.2049740908037405,0.04867668099431418,odd,NA,NA,NA,NA
